# ratesweep 127.0.0.1:47190 bound 1e-05 1e-09 (A.3 default)
config	epoch_tt	object	lon_err	lat_err	dist_err_au_per_day	dist_err_per_au	flag
geo apparent, true of date, ecliptic	2378496.5	Saturn osc aphelion	1.6131e-09	7.9455e-11	2.8882e-13	2.5956e-14	
geo apparent, true of date, ecliptic	2378496.5	Moon natural apogee	6.2436e-07	2.8193e-09	3.0550e-13	3.0550e-13	
geo apparent, true of date, ecliptic	2378496.5	Moon natural perigee	1.4387e-07	6.6180e-09	6.3568e-13	6.3568e-13	
geo apparent, true of date, ecliptic	2378496.5	Sirius	2.7178e-11	2.0496e-11	2.2342e-07	4.1058e-13	OVER
geo apparent, true of date, ecliptic	2378496.5	Vega	4.3147e-12	2.6779e-12	8.6082e-07	5.4331e-13	OVER
geo apparent, true of date, ecliptic	2378496.5	Polaris	5.1563e-12	1.6524e-11	2.1311e-05	7.7899e-13	OVER
geo apparent, true of date, ecliptic	2378496.5	Rigil Kentaurus	1.6298e-11	2.0302e-12	2.1781e-07	7.9527e-13	OVER
geo apparent, true of date, ecliptic	2415020.5	Sun	7.5604e-12	1.0896e-11	7.0556e-13	7.0556e-13	
geo apparent, true of date, ecliptic	2415020.5	Moon	8.7165e-09	1.6922e-09	1.3882e-13	1.3882e-13	
geo apparent, true of date, ecliptic	2415020.5	Mercury	3.8037e-11	1.4702e-11	9.3133e-13	8.1548e-13	
geo apparent, true of date, ecliptic	2415020.5	Venus	2.6087e-11	1.1285e-13	2.9195e-14	1.9934e-14	
geo apparent, true of date, ecliptic	2415020.5	Earth					unanswered errCode 2
geo apparent, true of date, ecliptic	2415020.5	Mars	2.8400e-12	2.1816e-12	8.8254e-13	3.6758e-13	
geo apparent, true of date, ecliptic	2415020.5	Jupiter	2.6512e-11	1.4973e-11	2.2862e-12	3.7398e-13	
geo apparent, true of date, ecliptic	2415020.5	Saturn	2.6975e-11	1.7555e-11	1.6809e-12	1.5246e-13	
geo apparent, true of date, ecliptic	2415020.5	Uranus	2.0088e-12	1.8702e-11	1.5871e-11	8.0002e-13	
geo apparent, true of date, ecliptic	2415020.5	Neptune	2.5478e-12	2.2046e-11	8.7185e-12	3.0147e-13	
geo apparent, true of date, ecliptic	2415020.5	Pluto	2.1817e-11	1.0933e-11	7.3445e-12	1.5939e-13	
geo apparent, true of date, ecliptic	2415020.5	Moon mean asc node	3.0901e-09	1.3163e-09	1.7914e-13	1.7914e-13	
geo apparent, true of date, ecliptic	2415020.5	Moon osc asc node	7.9225e-09	1.5374e-10	2.2426e-13	2.2426e-13	
geo apparent, true of date, ecliptic	2415020.5	Moon mean desc node	3.6126e-09	4.3334e-09	2.9934e-13	2.9934e-13	
geo apparent, true of date, ecliptic	2415020.5	Moon osc desc node	1.0481e-08	1.9501e-09	1.2701e-12	1.2701e-12	
