# ratesweep 127.0.0.1:47392 bound 0.005 0.0001 (advertised)
config	epoch_tt	object	lon_err	lat_err	dist_err	flag
geo apparent, true of date, ecliptic	2415020.5	Jupiter mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Jupiter osc desc node	3.1029e-08	4.5772e-07	1.7781e-06	
geo apparent, true of date, ecliptic	2415020.5	Jupiter mean perihelion	5.3812e-12	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Jupiter osc perihelion	1.4484e-09	5.7076e-07	2.8007e-07	
geo apparent, true of date, ecliptic	2415020.5	Jupiter mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Jupiter osc aphelion	2.3976e-08	5.3411e-07	3.8209e-07	
geo apparent, true of date, ecliptic	2415020.5	Saturn mean asc node	1.8190e-11	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Saturn osc asc node	3.9340e-08	3.6508e-07	1.7232e-06	
geo apparent, true of date, ecliptic	2415020.5	Saturn mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Saturn osc desc node	5.4384e-08	2.6638e-07	1.7418e-06	
geo apparent, true of date, ecliptic	2415020.5	Saturn mean perihelion	1.0914e-11	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Saturn osc perihelion	2.0647e-08	3.6659e-07	1.7596e-06	
geo apparent, true of date, ecliptic	2415020.5	Saturn mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2415020.5	Saturn osc aphelion	1.1608e-07	2.5560e-07	1.7660e-06	
geo apparent, true of date, ecliptic	2415020.5	Moon natural apogee	5.8056e-07	1.2110e-06	1.4674e-13	
geo apparent, true of date, ecliptic	2415020.5	Moon natural perigee	7.9171e-06	2.9804e-06	3.6483e-12	
geo apparent, true of date, ecliptic	2415020.5	Sirius	5.1540e-07	2.9262e-06	2.3466e-10	
geo apparent, true of date, ecliptic	2415020.5	Vega	1.2609e-06	2.9115e-06	1.5681e-10	
geo apparent, true of date, ecliptic	2415020.5	Polaris	4.1565e-07	2.9818e-06	3.6176e-12	
geo apparent, true of date, ecliptic	2415020.5	Rigil Kentaurus	1.4864e-06	2.5145e-06	1.2608e-11	
geo apparent, true of date, ecliptic	2451545.0	Sun	4.0776e-07	5.9129e-06	2.5648e-12	
geo apparent, true of date, ecliptic	2451545.0	Moon	7.2085e-06	5.3108e-06	2.0156e-09	
