surfaces		corrmask 7 observers						27	31								differs	
same	2451545	4	geo	ICRF	equator	0	69.2	330.5282478315/-13.1791410260	330.5282478668/-13.1791410889			2.579e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2451545	5	geo	ICRF	equator	0	69.2	23.8722227277/8.5968351397	23.8722227224/8.5968351852			1.648e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2451545	6	geo	ICRF	equator	0	69.2	38.7678688555/12.6168911319	38.7678690762/12.6168911307			7.752e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2451545	7	geo	ICRF	equator	0	69.2	317.4850371961/-17.0184915108	317.4850371904/-17.0184915146			2.410e-05			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2451545	8	geo	ICRF	equator	0	69.2	305.4436991245/-19.2122297296	305.4436990898/-19.2122297376			1.214e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2451545	9	geo	ICRF	equator	0	69.2	251.4291827246/-11.3968418737	251.4291826804/-11.3968417811			3.682e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	10	geo	ICRF	equator	0	69.2	69.1050263899/22.0475342059	69.1050262627/22.0475340892			5.972e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	301	geo	ICRF	equator	0	69.2	186.9705334216/2.6711811343	186.9705335770/2.6711809780			7.932e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	199	geo	ICRF	equator	0	69.2	94.2518600606/25.3461017010	94.2518601805/25.3461016076			5.151e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	299	geo	ICRF	equator	0	69.2	73.6084727865/23.7163505331	73.6084725107/23.7163500292			0.00202899711			0.002	2	finding	DE440 against Swiss .se1 (DE441 refit); anchor verdict: finding (theirs)
same	2459001.5	4	geo	ICRF	equator	0	69.2	344.7113176741/-9.0944627725	344.7113175337/-9.0944626214			7.383e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	5	geo	ICRF	equator	0	69.2	298.5458910337/-21.0633663734	298.5458909458/-21.0633663574			3.007e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	6	geo	ICRF	equator	0	69.2	303.5966085467/-20.0111678967	303.5966086246/-20.0111677907			4.637e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	7	geo	ICRF	equator	0	69.2	36.0611644697/13.8430855684	36.0611644385/13.8430855479			1.315e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	8	geo	ICRF	equator	0	69.2	351.7329149416/-4.7166292990	351.7329149774/-4.7166292127			3.360e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2459001.5	9	geo	ICRF	equator	0	69.2	296.4939046102/-22.1440747047	296.4939046431/-22.1440747069			1.099e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	10	geo	ICRF	equator	0	69.2	173.3793569742/2.8613556359	173.3793569032/2.8613556585			2.678e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	301	geo	ICRF	equator	0	69.2	227.2245308871/-23.0315179519	227.2245314530/-23.0315180784			0.00192935499			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	199	geo	ICRF	equator	0	69.2	187.7372741380/-3.2082432033	187.7372741633/-3.2082431892			1.042e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	299	geo	ICRF	equator	0	69.2	208.9024354337/-17.5305897421	208.9024358957/-17.5305899197			0.00170986897			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	4	geo	ICRF	equator	0	69.2	114.2890886949/22.3369876947	114.2890885535/22.3369877873			5.767e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	5	geo	ICRF	equator	0	69.2	139.0238577092/16.4560180020	139.0238577196/16.4560180575			2.030e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	6	geo	ICRF	equator	0	69.2	12.3947425695/2.3940829452	12.3947425865/2.3940829829			1.490e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	7	geo	ICRF	equator	0	69.2	63.4144962341/21.0322060607	63.4144962855/21.0322060341			1.976e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	8	geo	ICRF	equator	0	69.2	3.2209515949/-0.1501646981	3.2209515778/-0.1501647218			1.050e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	9	geo	ICRF	equator	0	69.2	306.2590164570/-23.6900119592	306.2590165109/-23.6900119291			2.082e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	10	geo	ICRF	equator	0	69.2	280.9331141594/-23.0522407015	280.9331141519/-23.0522406918			4.296e-05			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	301	geo	ICRF	equator	0	69.2	15.2526333500/10.1776562573	15.2526339390/10.1776564494			0.00219857577			0.002	2	expected-difference	DE440 against Swiss .se1 (DE441 refit); each server inside its own Horizons band here, so the gap is their sources' (DE440 vs DE441 / the .se1 refit)
same	2469807.5	199	geo	ICRF	equator	0	69.2	269.3119151391/-20.2952591533	269.3119150893/-20.2952590882			2.886e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	299	geo	ICRF	equator	0	69.2	281.5337556195/-23.6176702989	281.5337556599/-23.6176703260			1.651e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	4	geo	ICRF	equator	0	69.2	224.7827785041/-16.1721270877	224.7827785728/-16.1721271016			2.427e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	5	geo	ICRF	equator	0	69.2	123.3114884848/20.3805018352	123.3114884667/20.3805018326			6.199e-05			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	6	geo	ICRF	equator	0	69.2	298.9592165661/-20.9758206231	298.9592165464/-20.9758205339			3.280e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	7	geo	ICRF	equator	0	69.2	171.1470715043/4.6723810400	171.1470714542/4.6723810009			2.283e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	8	geo	ICRF	equator	0	69.2	50.9656424433/16.7855409666	50.9656424000/16.7855409357			1.862e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	9	geo	ICRF	equator	0	69.2	343.5537180010/-20.7440339268	343.5537179759/-20.7440339168			9.177e-05			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2488069.5	10	geo	ICRF	equator	0	69.2	280.0223742437/-23.1066831409	280.0223742526/-23.1066831036			1.376e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
