surfaces		corrmask 7 observers						27	3								differs	
same	2461299.5	301	geo	ICRF	equator	0	69.2	227.2245308871/-23.0315179519	227.2245314530/-23.0315180784			0.00192935499			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	199	geo	ICRF	equator	0	69.2	187.7372741380/-3.2082432033	187.7372741633/-3.2082431892			1.042e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	299	geo	ICRF	equator	0	69.2	208.9024354337/-17.5305897421	208.9024358957/-17.5305899197			0.00170986897			0.00233238969	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	4	geo	ICRF	equator	0	69.2	114.2890886949/22.3369876947	114.2890885535/22.3369877873			5.767e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	5	geo	ICRF	equator	0	69.2	139.0238577092/16.4560180020	139.0238577196/16.4560180575			2.030e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	6	geo	ICRF	equator	0	69.2	12.3947425695/2.3940829452	12.3947425865/2.3940829829			1.490e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	7	geo	ICRF	equator	0	69.2	63.4144962341/21.0322060607	63.4144962855/21.0322060341			1.976e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	8	geo	ICRF	equator	0	69.2	3.2209515949/-0.1501646981	3.2209515778/-0.1501647218			1.050e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2461299.5	9	geo	ICRF	equator	0	69.2	306.2590164570/-23.6900119592	306.2590165109/-23.6900119291			2.082e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	10	geo	ICRF	equator	0	69.2	280.9331141594/-23.0522407015	280.9331141519/-23.0522406918			4.296e-05			0.00210321251	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	301	geo	ICRF	equator	0	69.2	15.2526333500/10.1776562573	15.2526339390/10.1776564494			0.00219857577			0.002	2	expected-difference	DE440 against Swiss .se1 (DE441 refit); each server inside its own Horizons band here, so the gap is their sources' (DE440 vs DE441 / the .se1 refit)
